id,latency,dsp,uram,bram,NumAlu,PermTput,ScratchSize
0,11103172.9056,11,4,64,1,2,16384
1,11103172.9056,11,12,64,1,2,278528
2,11103172.9056,11,20,64,1,2,540672
3,11103172.9056,11,28,64,1,2,802816
4,11103172.9056,11,36,64,1,2,1064960
5,11103172.9056,11,44,64,1,2,1327104
6,11103172.9056,11,52,64,1,2,1589248
7,11103172.9056,11,60,64,1,2,1851392
8,11103172.9056,11,68,64,1,2,2113536
9,11103172.9056,11,76,64,1,2,2375680
10,11103172.9056,11,84,64,1,2,2637824
11,11103172.9056,11,92,64,1,2,2899968
12,11103172.9056,11,100,64,1,2,3162112
13,11103172.9056,11,108,64,1,2,3424256
14,11103172.9056,11,116,64,1,2,3686400
15,11103172.9056,11,124,64,1,2,3948544
16,11103172.9056,11,132,64,1,2,4210688
17,11103172.9056,11,140,64,1,2,4472832
18,11103172.9056,11,148,64,1,2,4734976
19,11103172.9056,11,156,64,1,2,4997120
20,11103172.9056,11,164,64,1,2,5259264
21,11103172.9056,11,172,64,1,2,5521408
22,11103172.9056,11,180,64,1,2,5783552
23,11103172.9056,11,188,64,1,2,6045696
24,11103172.9056,11,196,64,1,2,6307840
25,11103172.9056,11,204,64,1,2,6569984
26,11103172.9056,11,212,64,1,2,6832128
27,11103172.9056,11,220,64,1,2,7094272
28,11103172.9056,11,228,64,1,2,7356416
29,11103172.9056,11,236,64,1,2,7618560
30,11103172.9056,11,244,64,1,2,7880704
31,11103172.9056,11,252,64,1,2,8142848
32,11103172.9056,11,260,64,1,2,8404992
33,11103172.9056,11,268,64,1,2,8667136
34,11103172.9056,11,276,64,1,2,8929280
35,11103172.9056,11,284,64,1,2,9191424
36,11103172.9056,11,292,64,1,2,9453568
37,11103172.9056,11,300,64,1,2,9715712
38,11103172.9056,11,308,64,1,2,9977856
39,11103172.9056,11,316,64,1,2,10240000
40,11103172.9056,11,324,64,1,2,10502144
41,11103172.9056,11,332,64,1,2,10764288
42,11103172.9056,11,340,64,1,2,11026432
43,11103172.9056,11,348,64,1,2,11288576
44,11103172.9056,11,356,64,1,2,11550720
45,11103172.9056,11,364,64,1,2,11812864
46,11103172.9056,11,372,64,1,2,12075008
47,11103172.9056,11,380,64,1,2,12337152
48,11103172.9056,11,388,64,1,2,12599296
49,11103172.9056,11,396,64,1,2,12861440
50,11103172.9056,11,404,64,1,2,13123584
51,11103172.9056,11,412,64,1,2,13385728
52,11103172.9056,11,420,64,1,2,13647872
53,11103172.9056,11,428,64,1,2,13910016
54,11103172.9056,11,436,64,1,2,14172160
55,11103172.9056,11,444,64,1,2,14434304
